Id,Sentiment,Text Tweet,Preprocessed
185,1,"Film The Guys wajib ditonton bagi kamu yang sayang orang tua, sahabat yang baik, creatif dan cinta kebebasan. Kereen bgt kak @radityadika",film wajib tonton sayang tua sahabat creatif cinta bebas kereen kak
186,1,"Film The guys nya keren abiss bang @radityadika . Lucu dapet, romance nya dapet, dan sedih nya juga dapet.",film keren abiss lucu dapet romance dapet sedih dapet
187,1,"41 Vlog dan nunggu 22 hari setelah tanggal rilis baru nonton, kece banget, cerita yang tak tertebak sama sekali. Film THE GUYS @radityadika",41 vlog nunggu 22 rilis nonton kece cerita tebak film
188,1,Kmrn nonton film THE GUYS di situ bener2 ngerasain bgt bahwa sahabat lebih dari segala2''y knapa bang kalau bkn film sllu keren @radityadika,kmrn nonton film situ bener2 ngerasain sahabat segala2 y knapa bkn film keren
189,1,Kartini... pemamarannya sangat sederhana dan apa adanya yang justru membuat film ini sangat enak untuk dinikmati @Hanungbramantyo,kartini pemamarannya sederhana film enak nikmat
190,1,Abis ntn film Kartini. Bnr2 menginspirasi dan makin membuka pikiran.,ntn film kartini bnr2 inspirasi buka pikir
191,1,"baru nonton Kartini, salah satu film nasional yg sangat recommended untuk ditonton. saya nangis, campur aduk rasanya :'')",nonton kartini film nasional recommended tonton nang campur aduk
192,1,Film Kartini *sangat niat banget lihat film ini dan keren sekali dimana banyak scene2 yg sy harus menitikkan air mata #filmkartini #kartini ,film kartini niat lihat film keren scene2 titik air mata filmkartini kartini
193,1,KARTINI adalah salah satu film Indonesia bertema sejarah terbaik yg pernah dibuat. Digarap dgn serius dan tema msh relevan dgn kondisi skrg.,kartini film indonesia tema sejarah baik garap serius tema msh relevan
194,1,harusnya memang begini... Film kartini memang harus di tonton generasi muda http://fb.me/6tQqDGGLJ ,film kartini tonton generasi muda
195,1,Menurutku danur bagus dan cukup bangga dengan film horor hasil karya bangsa ini,turut danur bagus bangga film horor karya bangsa
196,1,Fargo juga adaptasi dari film yang cukup berhasil. Season 1-nya the best! https://t.co/tkEEK3Evs9,fargo adaptasi film hasil season 1 best
197,1,637.000 waw ini sangat keren flm horor dng jumlah penonton segini dlm waktu 4 hari @prillybie @danurmovie,637 000 waw keren flm horor dng tonton gin dlm 4
198,1,@filmziarah film yang tenang dan menghanyutkan. Salut dengan Mbah Ponco yg bisa membawakan karakter Mbah Sri dengan sangat baik. #FilmZiarah,film tenang hanyut salut mbah ponco bawa karakter mbah sri filmziarah
199,1,Film yg amat menarik. Kisah cinta & kesetiaan yg disajikan secara tidak biasa. Bikin kgn nenek. Recomended movie @filmziarah #meiberziarah,film tarik kisah cinta setia saji kgn nenek recomended movie meiberziarah
200,1,"Nntn @filmziarah , film bagus, ada kali 5 menit penonton gak beranjak tetep ngliatin layar pdhl film dah selesai, msh spicles sm endingnya",nntn film bagus 5 menit tonton gak anjak tetep ngliatin layar film selesai msh spicles endingnya
